absolute_yrdln,net_value,posteam_type,down,expected_value
1,-0.05555555555555555,home,1,0.24178471829956827
2,0.5297872340425532,home,1,0.29881116153499576
3,0.08470588235294117,home,1,0.3558376047704232
4,0.4279379157427938,home,1,0.4128640480058507
5,0.2732673267326733,home,1,0.4698904912412782
6,0.10766423357664233,home,1,0.5269169344767056
7,0.7094017094017094,home,1,0.5839433777121331
8,0.9656398104265402,home,1,0.6409698209475606
9,0.627979274611399,home,1,0.6979962641829881
10,0.8507142857142858,home,1,0.7550227074184156
11,0.7492904446546831,home,1,0.8120491506538431
12,1.255406797116375,home,1,0.8690755938892705
13,1.0342342342342343,home,1,0.926102037124698
14,1.1415637860082304,home,1,0.9831284803601255
15,1.4578820697954271,home,1,1.040154923595553
16,1.7347083926031295,home,1,1.0971813668309804
17,1.4603288062902073,home,1,1.154207810066408
18,1.461892247043364,home,1,1.2112342533018354
19,1.3702313946216385,home,1,1.268260696537263
20,1.447306288903198,home,1,1.3252871397726904
21,0.8655504819888381,home,1,1.382313583008118
22,1.5101535413571074,home,1,1.4393400262435454
23,1.707036859741503,home,1,1.496366469478973
24,1.5098218364550022,home,1,1.5533929127144002
25,1.6005452562704472,home,1,1.6104193559498277
26,1.5805626598465474,home,1,1.6674457991852552
27,1.609647163912461,home,1,1.7244722424206826
28,1.8995983935742973,home,1,1.7814986856561101
29,1.6702997275204359,home,1,1.8385251288915376
30,1.7413429689852453,home,1,1.8955515721269651
31,2.1952270467351673,home,1,1.9525780153623926
32,1.6970684039087949,home,1,2.00960445859782
33,2.082273747195213,home,1,2.0666309018332476
34,2.3365570599613155,home,1,2.123657345068675
35,2.3675455116133084,home,1,2.1806837883041026
36,2.2328339575530585,home,1,2.23771023153953
37,2.340521739130435,home,1,2.2947366747749576
38,2.419636363636364,home,1,2.351763118010385
39,2.3778656126482214,home,1,2.4087895612458126
40,2.4573430834856795,home,1,2.46581600448124
41,2.5841731989548338,home,1,2.5228424477166675
42,2.646406570841889,home,1,2.579868890952095
43,2.8987921699291963,home,1,2.6368953341875225
44,2.760551248923342,home,1,2.69392177742295
45,2.6364653243847873,home,1,2.7509482206583775
46,2.656674660271783,home,1,2.807974663893805
47,2.7187107576391796,home,1,2.8650011071292325
48,2.699352051835853,home,1,2.9220275503646596
49,2.77367941712204,home,1,2.979053993600087
50,3.039761431411531,home,1,3.0360804368355145
51,2.8058294042006002,home,1,3.093106880070942
52,2.6502602934216752,home,1,3.1501333233063695
53,3.0328947368421053,home,1,3.207159766541797
54,3.249015748031496,home,1,3.2641862097772245
55,3.4497628288055195,home,1,3.321212653012652
56,3.5341530054644807,home,1,3.3782390962480795
57,3.549558390578999,home,1,3.435265539483507
58,3.138563423331635,home,1,3.4922919827189345
59,3.3933649289099526,home,1,3.549318425954362
60,3.386271870794078,home,1,3.6063448691897895
61,3.6573146292585172,home,1,3.663371312425217
62,3.5219895287958116,home,1,3.7203977556606445
63,3.39527027027027,home,1,3.777424198896072
64,3.4628508530544853,home,1,3.8344506421314994
65,4.034640855832909,home,1,3.891477085366927
66,3.618923157344485,home,1,3.9485035286023544
67,3.4918981481481484,home,1,4.005529971837782
68,4.231404958677686,home,1,4.062556415073209
69,4.184210526315789,home,1,4.119582858308637
70,3.966703056768559,home,1,4.176609301544064
71,4.321037463976945,home,1,4.233635744779492
72,4.417380660954712,home,1,4.290662188014919
73,3.8868778280542986,home,1,4.347688631250347
74,4.143129770992366,home,1,4.404715074485774
75,3.921367521367521,home,1,4.461741517721202
76,4.847601700060716,home,1,4.518767960956629
77,4.621113989637306,home,1,4.575794404192057
78,4.64935064935065,home,1,4.632820847427484
79,4.744897959183674,home,1,4.689847290662912
80,4.908761329305136,home,1,4.746873733898339
81,4.693415637860082,home,1,4.803900177133767
82,5.199567723342939,home,1,4.860926620369194
83,5.104942965779467,home,1,4.917953063604622
84,5.029179810725552,home,1,4.974979506840049
85,4.867469879518072,home,1,5.032005950075477
86,5.506024096385542,home,1,5.089032393310904
87,5.680801850424055,home,1,5.146058836546332
88,4.485123966942148,home,1,5.203085279781759
89,4.902368987796123,home,1,5.260111723017187
90,5.292957746478873,home,1,5.317138166252614
91,5.52373417721519,home,1,5.374164609488042
92,5.86331569664903,home,1,5.431191052723469
93,5.483058210251955,home,1,5.488217495958897
94,5.345173041894354,home,1,5.545243939194324
95,6.042402826855124,home,1,5.602270382429752
96,5.724416517055655,home,1,5.659296825665178
97,6.4003868471953576,home,1,5.716323268900606
98,6.0108910891089105,home,1,5.773349712136033
99,5.9499478623566215,home,1,5.830376155371461
1,-2.372141372141372,away,1,-1.5691460288429857
2,-1.304255319148936,away,1,-1.5109136550008455
3,-1.1511627906976745,away,1,-1.4526812811587055
4,-1.1956521739130435,away,1,-1.3944489073165656
5,-0.3045045045045045,away,1,-1.3362165334744254
6,-1.0224913494809689,away,1,-1.2779841596322854
7,-1.14580265095729,away,1,-1.2197517857901454
8,-1.0510328068043742,away,1,-1.1615194119480052
9,-0.6254980079681275,away,1,-1.1032870381058653
10,-1.2365591397849462,away,1,-1.0450546642637253
11,-1.1446280991735538,away,1,-0.9868222904215851
12,-0.7955641272902604,away,1,-0.9285899165794451
13,-0.8454198473282443,away,1,-0.870357542737305
14,-0.33578431372549017,away,1,-0.812125168895165
15,-0.656797583081571,away,1,-0.753892795053025
16,-0.37940761636107195,away,1,-0.6956604212108849
17,-0.3503277494537509,away,1,-0.6374280473687448
18,-0.8307086614173228,away,1,-0.5791956735266048
19,-0.520870076425632,away,1,-0.5209632996844646
20,-0.6659971881903997,away,1,-0.46273092584232467
21,-1.0019445794846864,away,1,-0.4044985520001847
22,-0.20105313547151749,away,1,-0.3462661781580445
23,0.12011439466158245,away,1,-0.28803380431590453
24,-0.339699863574352,away,1,-0.22980143047376456
25,0.10119415276919909,away,1,-0.17156905663162436
26,-0.2667792317433516,away,1,-0.11333668278948439
27,-0.14791288566243194,away,1,-0.055104308947344416
28,-0.02645985401459854,away,1,0.003128064894795779
29,0.13927451858486342,away,1,0.06136043873693575
30,0.1814739295077192,away,1,0.11959281257907572
31,-0.09651124877730681,away,1,0.17782518642121592
32,0.03890909090909091,away,1,0.2360575602633559
33,0.048592364057076745,away,1,0.29428993410549587
34,0.3805668016194332,away,1,0.35252230794763606
35,0.08110657026092424,away,1,0.41075468178977625
36,0.48595245446125346,away,1,0.468987055631916
37,0.49469359808284835,away,1,0.5272194294740562
38,0.5531121878494223,away,1,0.5854518033161964
39,0.614406779661017,away,1,0.6436841771583361
40,0.6959008579599618,away,1,0.7019165510004763
41,0.6624472573839663,away,1,0.7601489248426165
42,0.3009240658899156,away,1,0.8183812986847563
43,0.9593632174277336,away,1,0.8766136725268965
44,0.7900480139676997,away,1,0.9348460463690367
45,0.9889397406559878,away,1,0.9930784202111764
46,1.2716255745925615,away,1,1.0513107940533166
47,0.7846620450606586,away,1,1.1095431678954568
48,0.9379310344827586,away,1,1.1677755417375966
49,1.2503464203233257,away,1,1.2260079155797368
50,1.2220907297830375,away,1,1.284240289421877
51,0.8723958333333334,away,1,1.3424726632640167
52,1.234647112740605,away,1,1.400705037106157
53,1.3752609603340293,away,1,1.458937410948297
54,1.406153846153846,away,1,1.5171697847904368
55,1.4954168485377564,away,1,1.575402158632577
56,1.5719806763285025,away,1,1.6336345324747172
57,1.291604570293095,away,1,1.691866906316857
58,1.4142857142857144,away,1,1.7500992801589972
59,1.5617977528089888,away,1,1.8083316540011374
60,2.3408071748878925,away,1,1.8665640278432771
61,1.9948293691830403,away,1,1.9247964016854173
62,1.845896147403685,away,1,1.9830287755275575
63,2.06720741599073,away,1,2.0412611493696975
64,1.8429506246281975,away,1,2.0994935232118372
65,2.3787638668779714,away,1,2.157725897053978
66,1.9939460649422125,away,1,2.2159582708961176
67,2.2903995229576624,away,1,2.2741906447382574
68,2.3176178660049627,away,1,2.332423018580398
69,1.8798920377867747,away,1,2.3906553924225378
70,2.641509433962264,away,1,2.4488877662646784
71,2.425396825396825,away,1,2.507120140106818
72,2.5796610169491525,away,1,2.565352513948958
73,2.514830508474576,away,1,2.6235848877910986
74,2.9592696629213484,away,1,2.6818172616332383
75,2.758860759493671,away,1,2.740049635475378
76,2.6397637795275593,away,1,2.7982820093175187
77,2.9363321799307958,away,1,2.8565143831596584
78,3.2191881918819187,away,1,2.914746757001798
79,3.1677316293929714,away,1,2.972979130843939
80,2.6580958999305073,away,1,3.0312115046860786
81,3.31981981981982,away,1,3.0894438785282183
82,3.365293185419968,away,1,3.147676252370359
83,2.6245847176079735,away,1,3.2059086262124987
84,3.4248704663212437,away,1,3.2641410000546385
85,2.8455598455598454,away,1,3.322373373896779
86,3.4502407704654896,away,1,3.380605747738919
87,3.4175347222222223,away,1,3.4388381215810586
88,3.3529411764705883,away,1,3.4970704954231993
89,3.6882307092751363,away,1,3.555302869265339
90,3.5035971223021583,away,1,3.6135352431074788
91,3.8407699037620295,away,1,3.6717676169496194
92,3.953307392996109,away,1,3.729999990791759
93,3.9345417925478348,away,1,3.788232364633899
94,4.59206510681587,away,1,3.8464647384760395
95,3.8022088353413657,away,1,3.9046971123181793
96,3.8983050847457625,away,1,3.962929486160319
97,4.294691224268689,away,1,4.02116186000246
98,4.241379310344827,away,1,4.079394233844599
99,4.8246445497630335,away,1,4.137626607686739
